  July 17     183.5        82.3         81.8        19.4       0.0     0.0      183.5        98.5        124.8           37204.2
  July 16     164.0        73.0         74.0        17.0       0.0   273.2     -109.2        89.6        123.7           36840.9
  July 15     202.1        89.0         91.8        21.3       0.0   104.6       97.5       146.0        152.4           37057.2
  July 14     157.5        69.7         71.4        16.4       0.0     4.4      153.1       161.8        149.6           36864.0
  July 13     183.7        82.4         81.8        19.4       0.0    15.9      167.8       149.1        154.2           36560.9
  July 12     142.5        63.5         63.8        15.2       0.0     3.8      138.8       151.1        157.8           36228.6
  July 11     177.4        79.4         79.1        18.8       0.0     4.5      172.9       157.9        167.1           35953.9
  July 10  *  183.8        82.6         81.8        19.4       0.0     7.4      176.4       158.8        172.4           35611.5
  July  9     177.5        79.5         79.1        18.8       0.0    87.9       89.6       137.4        174.2           35262.3
  July  8     203.2        89.4         91.9        21.9       0.0    25.3      177.9       159.3        183.0           35084.9
  July  7     184.0        82.7         81.8        19.5       0.0    11.4      172.6       164.5        188.4           34732.8
  July  6     177.6        79.7         79.1        18.8       0.0     0.1      177.6       176.4        189.9           34391.1
  July  5     177.7        79.7         79.1        18.8       0.0   108.3       69.4       186.1        193.9           34039.5
  July  4     199.6        89.1         89.3        21.3       0.0     0.4      199.3       210.9        207.4           33902.0
  July  3     203.4        89.6         91.9        21.9       0.0     0.0      203.4       206.6        208.0           33507.5
  July  2     232.3       102.6        104.8        24.9       0.0     0.0      232.3       212.4        208.8           33104.7
  July  1     226.0        99.5        102.2        24.3       0.0     0.0      226.0       203.5        208.9           32644.8
  June 30     193.6        86.1         86.9        20.7       0.0     0.0      193.6       201.8        207.4           32197.2
  June 29     177.9        79.9         79.1        18.8       0.0     0.3      177.7       204.0        208.5           31813.8
  June 28     232.5       102.8        104.8        24.9       0.0     0.0      232.5       209.4        209.3           31462.0
  June 27     245.8       109.1        110.0        26.7       0.0    58.2      187.6       205.1        203.9           31001.7
  June 26  *  217.5        96.7         97.1        23.7       0.0     0.0      217.5       214.3        201.1           30630.3
  June 25  *  204.6        90.0         92.0        22.5       0.0     0.0      204.6       213.1        154.0           30199.6
  June 24  *  204.6        90.1         92.0        22.5       0.0     0.0      204.6       213.1        147.8           29794.6
  June 23  *  211.3        93.7         94.5        23.1       0.0     0.0      211.3       209.2        147.2           29389.4
  June 22  *  233.5       103.1        104.9        25.5       0.0     0.0      233.5       202.7        146.3           28971.0
  June 21  *  211.3        93.7         94.5        23.1       0.0     0.0      211.3       188.0        147.5           28508.8
  June 20  *  204.6        90.1         92.0        22.5       0.0     0.0      204.6        95.0        147.9           28090.3
  June 19  *  185.3        83.4         81.9        20.1       0.0     0.0      185.3        82.5        146.4           27685.2
  June 18  *  178.9        80.2         79.2        19.4       0.0     0.0      178.9        85.3        148.1           27318.3
  June 17  *  159.7        70.5         71.6        17.6       0.0     0.0      159.7        90.0        152.7           26964.0
  June 16  *  123.9        54.5         56.1        13.4       0.0   377.6     -253.7       107.0        158.2           26647.9
