"Date","Year","Month","Month.n","Day","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1"
2003-06-11,2003,"June",NA,11,51.7,0,43.7,7.9,0,0,51.7,41.6,30.9,4924.3
2003-06-10,2003,"June",NA,10,52.4,0.1,44.4,7.9,0,0,52.4,38.4,29.2,4821.9
2003-06-09,2003,"June",NA,9,29.8,0,25.4,4.4,0,6,23.8,15.1,28.6,4718.1
2003-06-08,2003,"June",NA,8,42.1,0,35.6,6.4,0,15.4,26.7,18.9,30.5,4671
2003-06-07,2003,"June",NA,7,53.5,0.1,45.3,8.2,0,0,53.5,22.2,32.4,4618.2
2003-06-06,2003,"June",NA,6,46.9,0,39.6,7.3,0,11.1,35.8,20.2,31.2,4512.2
2003-06-05,2003,"June",NA,5,51.7,0,43.7,7.9,0,115.9,-64.2,19.9,31.7,4441.3
2003-06-04,2003,"June",NA,4,44,0,37.2,6.8,0,1.1,42.9,42.1,42.6,4568.5
2003-06-03,2003,"June",NA,3,43.3,0,36.4,6.8,0,0.1,43.2,42.2,43.2,4483.5
2003-06-02,2003,"June",NA,2,45.6,0,38.2,7.3,0,2.3,43.3,42.5,41.8,4398
2003-06-01,2003,"June",NA,1,35.4,0,29.6,5.7,0,0.9,34.5,42.2,40.1,4312.3
2003-05-31,2003,"May",5,31,46.6,0,39.1,7.5,0,0,46.6,43.5,41,4244
2003-05-30,2003,"May",5,30,43.2,0,36.1,7.1,0,0,43.2,43,40.3,4151.6
2003-05-29,2003,"May",5,29,44.8,0,37.5,7.3,0,0,44.8,44.2,40.2,4066.1
2003-05-28,2003,"May",5,28,42.1,0,35.2,6.8,0,0,42.1,41.1,40.2,3977.4
2003-05-27,2003,"May",5,27,42.4,0,35.3,7.1,0,1.8,40.7,38,39.9,3894.1
2003-05-26,2003,"May",5,26,44.7,0,37.2,7.5,0,0.3,44.4,38.4,40.4,3813.6
2003-05-25,2003,"May",5,25,49.1,0,40.8,8.2,0,0,49.1,37.6,40.2,3725.6
2003-05-24,2003,"May",5,24,35.8,0,29.8,6,0,6.7,29.2,36.2,40.1,3628.5
2003-05-23,2003,"May",5,23,32.7,0,27.1,5.5,0,5.9,26.7,39.2,40.6,3570.8
2003-05-22,2003,"May",5,22,42.9,0,35.6,7.3,0,0,42.8,41.8,41.7,3517.8
2003-05-21,2003,"May",5,21,40.2,0,33.3,6.8,0,0,40.2,42.3,41.2,3433
2003-05-20,2003,"May",5,20,42.1,0,34.8,7.3,0,0,42.1,42.8,40.9,3353.5
2003-05-19,2003,"May",5,19,44.3,0,36.5,7.7,0,0,44.3,44,40.2,3270.1
2003-05-18,2003,"May",5,18,39.4,0,32.6,6.8,0,0,39.4,42,40.3,3182.4
2003-05-17,2003,"May",5,17,45.3,0,37.3,7.9,0,0,45.3,41.7,40.3,3104.3
2003-05-16,2003,"May",5,16,42.9,0,35.2,7.7,0,0,42.9,40.1,39.6,3014.6
2003-05-15,2003,"May",5,15,48.2,0,39.4,8.8,0,0,48.2,38.9,38.3,2929.6
2003-05-14,2003,"May",5,14,33.9,0,27.7,6.2,0,0,33.9,36.4,36.8,2834.1
2003-05-13,2003,"May",5,13,38.1,0,31,7.1,0,0,38.1,38.7,37.5,2767
2003-05-12,2003,"May",5,12,37.6,0,30.5,7.1,0,0,37.6,38.9,37.4,2691.5
2003-05-11,2003,"May",5,11,36.7,0,29.6,7.1,0,0,36.7,39.1,36.8,2617.2
2003-05-10,2003,"May",5,10,35.8,0,28.9,6.8,0,0,35.8,37.7,36.4,2544.6
2003-05-09,2003,"May",5,9,45.2,0,36.6,8.6,0,0,45.2,37.3,36.2,2473.7
2003-05-08,2003,"May",5,8,39,0,31.3,7.7,0,0,39,36.4,34.8,2384.1
2003-05-07,2003,"May",5,7,38.8,0,31,7.7,0,0,38.8,36,34.1,2306.8
2003-05-06,2003,"May",5,6,29.5,0,23.5,6,0,0,29.5,34.5,32.7,2230
2003-05-05,2003,"May",5,5,33.8,0,27,6.8,0,0,33.8,35.2,32.7,2171.5
2003-05-04,2003,"May",5,4,40.7,0,32.5,8.2,0,0,40.7,35,31.9,2104.5
2003-05-03,2003,"May",5,3,36.9,0,29.2,7.7,0,0,36.9,33.3,30.5,2023.9
2003-05-02,2003,"May",5,2,31.6,0,24.9,6.6,0,0,31.6,32.3,29.2,1950.8
2003-05-01,2003,"May",5,1,32.8,0,25.7,7.1,0,0,32.8,30.9,29.1,1888.2
2003-04-30,2003,"Apr",4,30,33.1,0,25.8,7.3,0,0,33.1,30.2,28.1,1823.3
