"Date","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1"
2018-06-27,1089.9789183673,522.623058658398,335.902519021033,226.027063851729,5.30972642110872,453.786038071805,636.093134154392,935.466491322208,963.224371918084,170392.236197239
2018-06-28,1054.1789183673,510.223058658397,327.302519021033,211.427063851729,5.30972642110872,-0.113961928194154,1054.29313415439,943.266491322209,980.024371918084,172380.636197239
2018-06-29,909.678918367296,445.823058658397,276.202519021034,182.427063851729,5.30972642110872,50.0860380718059,859.693134154392,919.366491322209,973.624371918084,173983.836197239
2018-06-30,885.678918367296,431.823058658399,270.102519021034,178.327063851729,5.30972642110872,126.986038071805,758.693134154393,877.866491322208,951.024371918084,175387.136197239
2018-07-01,991.978918367296,478.623058658398,309.302519021033,198.827063851729,5.30972642110872,-2.21396192819415,994.193134154392,865.066491322209,949.824371918084,177256.336197239
2018-07-02,990.778918367296,481.223058658397,309.802519021033,194.527063851729,5.30972642110872,-2.21396192819415,992.993134154393,936.366491322208,941.424371918084,179123.436197239
2018-07-03,923.978918367296,455.323058658397,283.902519021034,179.527063851729,5.30972642110872,-1.91396192819415,925.893134154392,910.766491322209,932.424371918084,180857.636197239
2018-07-04,948.778918367296,467.123058658398,292.302519021034,184.227063851729,5.30972642110872,41.9860380718059,906.993134154395,920.166491322208,925.024371918084,182554.136197239
2018-07-05,849.478918367296,423.823058658397,257.102519021034,163.027063851729,5.30972642110872,625.886038071805,223.593134154392,813.066491322208,850.924371918084,182897.636197239
2018-07-06,843.678918367296,423.423058658398,256.302519021034,158.527063851729,5.30972642110872,5.58603807180584,838.193134154392,781.966491322208,828.824371918084,184457.936197239
2018-07-07,844.678918367296,422.423058658398,259.402519021034,157.727063851729,5.30972642110872,9.58603807180589,835.193134154394,750.366491322208,848.824371918084,186012.236197239
2018-07-08,861.478918367296,431.723058658398,271.502519021034,152.927063851729,5.30972642110872,191.786038071806,669.693134154393,698.866491322208,810.324371918084,187238.836197239
2018-07-09,799.078918367296,403.523058658398,245.302519021034,144.827063851729,5.30972642110872,187.586038071806,611.393134154393,639.966491322208,785.524371918084,188350.136197239
2018-07-10,827.078918367296,421.823058658399,254.302519021034,145.827063851729,5.30972642110872,42.1860380718059,784.893134154392,752.166491322208,788.124371918084,189804.936197239
2018-07-11,795.878918367296,403.023058658397,245.202519021034,142.227063851729,5.30972642110872,66.3860380718059,729.693134154394,730.466491322209,761.624371918084,191150.536197239
2018-07-12,715.778918367296,358.223058658398,218.202519021034,134.027063851729,5.30972642110872,113.186038071806,602.693134154393,683.966491322209,722.624371918084,192244.636197239
2018-07-13,806.078918367296,404.723058658398,256.602519021034,139.327063851729,5.30972642110872,177.886038071806,627.993134154393,675.766491322208,692.724371918084,193389.036197239
2018-07-14,761.478918367296,384.423058658398,238.202519021034,133.527063851729,5.30972642110872,55.4860380718059,705.893134154393,694.666491322209,672.724371918084,194687.636197239
2018-07-15,856.578918367296,432.723058658398,272.702519021034,145.827063851729,5.30972642110872,448.286038071805,408.193134154393,619.266491322208,691.224371918084,195396.836197239
