"Date","Isleta_mean_daily_div_cfs","SanAcacia_mean_daily_div_cfs","Mean_cfs_SanAcacia","Mean_cfs_BosFarms","Ag_DCU_cfs_5","Riparian_DCU_cfs_5","OpenWater_DCU_cfs_5","Rain_cfs_5","Ag_DCU_cfs_6","Riparian_DCU_cfs_6","OpenWater_DCU_cfs_6","Rain_cfs_6","Ag_DCU_cfs_7","Riparian_DCU_cfs_7","OpenWater_DCU_cfs_7","Rain_cfs_7","Ag_DCU_cfs_8","Riparian_DCU_cfs_8","OpenWater_DCU_cfs_8","Rain_cfs_8","Ag_mn","Rip_mn","OW_mn","Rain_mn","Ag_sum","Rip_sum","OW_sum","Rain_sum"
"2003-03-18",209.645833333333,189.895833333333,187,NA,46.6,3,2.9,198.2,2.8,1,1.7,0,36.7,3.8,6.5,0,0,1.5,2.6,0,21.525,2.325,3.425,49.55,86.1,9.3,13.7,198.2
"2003-03-19",187.5625,201.958333333333,200,NA,20.1,1.3,1.2,137,1.2,0.5,0.8,1.3,26.7,2.8,5,0.7,0,1.2,2.2,0,12,1.45,2.3,34.75,48,5.8,9.2,139
"2003-03-20",135,267.8125,272,NA,77.4,5.9,4.8,179.5,1.9,0.8,1.3,0.8,30.8,3.2,5.9,3.3,0,1.6,2.9,0,27.525,2.875,3.725,45.9,110.1,11.5,14.9,183.6
"2003-03-21",162.416666666667,419.1875,692,NA,53.2,4.1,3.6,27.1,1.6,0.8,1.1,3.9,21.4,2.4,4,16,0,1.6,2.6,0,19.05,2.225,2.825,11.75,76.2,8.9,11.3,47
"2003-03-22",171.625,386.291666666667,589,NA,118.1,9,7.5,0,6.2,2.3,3.8,0,79.4,8.5,13.5,0,0,2.5,4,0,50.925,5.575,7.2,0,203.7,22.3,28.8,0
"2003-03-23",208.916666666667,609.6875,1300,NA,117.2,9.3,7.6,0,4,1.8,2.6,0,53.6,6.1,9.7,0,0,3.1,4.9,0,43.7,5.075,6.2,0,174.8,20.3,24.8,0
"2003-03-24",203.25,372.145833333333,525,NA,125.3,10.3,8.1,0,4.6,2,2.9,0,66.9,7.5,11.8,0,0,3.1,4.6,0,49.2,5.725,6.85,0,196.8,22.9,27.4,0
"2003-03-25",201.6875,345.5,440,NA,113.9,9.6,7.3,0,3.9,1.8,2.6,0,57.4,6.7,10.2,0,0,3.1,4.6,0,43.8,5.3,6.175,0,175.2,21.2,24.7,0
"2003-03-26",219.3125,295.395833333333,320,NA,125.7,11.4,8.2,0,5.4,2.5,3.5,0,70.1,8.2,12.3,0,0,3.5,5.3,0,50.3,6.4,7.325,0,201.2,25.6,29.3,0
"2003-03-27",NA,243.979166666667,243,NA,83.2,7.4,5.4,0,3.8,1.7,2.4,0,58.2,7.2,10.2,2.9,0,2.7,4,2.6,36.3,4.75,5.5,1.375,145.2,19,22,5.5
