             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    14349.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2015   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2015 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Aug.  3  *  161.1         0.0         44.3       116.8       0.0    19.6      141.5        89.3         93.2           47870.2
  Aug.  2  *  167.1         0.0         45.9       121.2       0.0    12.9      154.2        58.2         97.5           47590.1
  Aug.  1  *  167.4         0.0         45.9       121.5       0.0     0.0      167.4        33.2         99.5           47284.9
  July 31  *  163.6         0.0         45.9       117.7       0.0   262.3      -98.7        30.8         93.4           46953.4
  July 30  *  165.8         0.0         47.5       118.3       0.0    83.7       82.0        78.6        119.5           47148.7
  July 29  *  164.6         0.0         45.9       118.6       0.0   178.5      -14.0        97.0        128.6           46986.3
  July 28  *  178.4         0.0         50.7       127.7       0.0   149.3       29.2       136.8        143.8           47013.9
  July 27  *  177.4         0.0         49.2       128.2       0.0    22.2      155.2       165.8        159.6           46956.2
  July 26  *  188.0         0.0         50.7       137.2       0.0    47.4      140.6       156.0        161.8           46648.8
  July 25  *  187.4         0.0         53.8       133.6       0.0    13.2      174.2       160.5        163.6           46370.4
  July 24  *  184.7         0.0         50.7       134.0       0.0     0.0      184.7       160.1        156.9           46025.5
  July 23  *  175.0         0.0         49.2       125.9       0.0     0.8      174.2       150.8        157.7           45659.8
  July 22  *  180.5         0.0         53.9       126.7       0.0    74.2      106.3       153.4        158.3           45314.9
  July 21  *  177.8         0.0         50.7       127.1       0.0    14.9      162.9       167.7        166.1           45104.3
  July 20  *  172.4         0.0         49.2       123.3       0.0     0.0      172.4       166.7        158.9           44781.8
  July 19  *  168.6         0.0         49.2       119.5       0.0    30.6      138.0       153.7        152.1           44440.4
  July 18  *  187.2         0.0         45.9       141.2       0.0     0.0      187.2       164.6        138.4           44167.1
  July 17  *  177.8         0.0         49.2       128.6       0.0     0.0      177.8       163.3        130.2           43796.5
  July 16  *  176.2         0.0         47.5       128.7       0.0    18.1      158.1       164.6        123.9           43444.6
  July 15  *  183.4         0.0         45.9       137.4       0.0    76.1      107.2       151.2        119.8           43131.5
  July 14  *  193.7         0.0         47.5       146.2       0.0     1.1      192.7       150.5        120.8           42919.1
  July 13  *  193.0         0.0         50.8       142.2       0.0    12.3      180.7       112.3        103.4           42537.6
  July 12  *  186.8         0.0         49.3       137.5       0.0     2.7      184.1        97.1         78.8           42179.7
  July 11  *  180.5         0.0         47.6       132.9       0.0    89.3       91.2        83.2         79.6           41815.2
  July 10  *  159.4         0.0         44.3       115.2       0.0    55.8      103.6        88.5         92.1           41634.7
  July  9  *  167.6         0.0         47.6       119.9       0.0   165.8        1.8        91.2         97.4           41429.5
  July  8  *  179.2         0.0         45.9       133.2       0.0    74.3      104.9        94.6        117.0           41425.9
  July  7  *  160.2         0.0         39.7       120.5       0.0    45.6      114.6        60.5        125.4           41218.2
  July  6  *  182.4         0.0         47.6       134.8       0.0    64.8      117.6        76.0        117.7           40991.4
  July  5  *  168.1         0.0         46.0       122.0       0.0    51.0      117.1        95.7        106.3           40758.5
  July  4  *  168.6         0.0         46.0       122.6       0.0   149.8       18.8       103.7        113.5           40526.6
  July  3  *  179.8         0.0         47.6       132.1       0.0   245.5      -65.8       139.5        128.9           40489.4
  July  2  *  211.1         0.0         55.5       155.6       0.0    18.7      192.4       190.4        156.4           40619.6
  July  1  *  216.2         0.0         55.5       160.6       0.0     0.0      216.2       159.3        160.8           40238.7
  June 30  *  198.8         0.0         55.5       143.3       0.0    42.1      156.7       116.9        163.2           39810.6
  June 29  *  197.8         0.0         53.9       143.8       0.0     0.0      197.8       123.3        171.3           39500.4
  June 28  *  189.2         0.0         53.9       135.3       0.0     0.3      189.0       118.3        169.6           39108.8
  June 27  *  180.2         0.0         49.3       130.9       0.0   143.4       36.8       122.4        167.0           38734.6
  June 26  *  210.2         0.0         55.5       154.6       0.0   206.0        4.2       162.2        185.7           38661.8
  June 25  *  205.9         0.0         50.9       154.9       0.0    17.1      188.7       209.5        204.0           38653.4
  June 24  *  186.2         0.0         49.4       136.8       0.0    13.5      172.7       219.3        201.4           38279.7
  June 23  *  209.8         0.0         53.9       155.8       0.0     0.0      209.8       220.9        205.6           37937.8
  June 22  *  235.7         0.0         60.5       175.2       0.0     0.0      235.7       211.6        202.9           37522.4
  June 21  *  240.6         0.0         60.5       180.1       0.0     0.0      240.6       209.2        201.1           37055.7
  June 20  *  237.5         0.0         57.3       180.2       0.0     0.0      237.5       198.5        198.1           36579.3
  June 19  *  220.3         0.0         54.1       166.2       0.0    39.2      181.1       183.5        195.4           36109.1
  June 18  *  235.0         0.0         58.9       176.1       0.0    71.7      163.3       190.2        172.2           35750.5
  June 17  *  224.0         0.0         57.3       166.8       0.0     0.6      223.4       194.2        172.4           35427.3
  June 16  *  187.3         0.0         44.5       142.8       0.0     0.0      187.3       193.1        167.5           34984.9
  June 15  *  216.1         0.0         49.4       166.7       0.0    53.6      162.5       197.7        169.0           34614.0
  June 14  *  232.2         0.0         51.0       181.2       0.0    17.6      214.6       207.2        167.1           34292.2
  June 13  *  218.8         0.0         51.0       167.8       0.0    35.6      183.1       154.3        168.6           33867.3
  June 12  *  217.8         0.0         49.5       168.3       0.0     0.0      217.8       150.6        174.3           33504.7
  June 11  *  210.7         0.0         51.0       159.6       0.0     0.0      210.7       141.9        177.1           33073.4
  June 10  *  209.7         0.0         49.5       160.2       0.0     0.0      209.7       140.2        178.8           32656.3
  June  9  *  201.9         0.0         46.2       155.7       0.0   251.9      -50.0       127.1        178.8           32241.1
  June  8  *  199.4         0.0         47.9       151.6       0.0    34.6      164.9       183.0        203.9           32340.1
  June  7  *  188.9         0.0         51.0       137.8       0.0    14.5      174.4       197.9        211.8           32013.7
  June  6  *  202.3         0.0         49.5       152.8       0.0     0.1      202.2       212.4        217.2           31668.4
  June  5  *  202.8         0.0         49.5       153.3       0.0    58.6      144.2       217.3        218.8           31268.1
  June  4  *  229.3         0.0         55.8       173.5       0.0     0.0      229.3       230.6        224.9           30982.7
  June  3  *  239.5         0.0         55.8       183.7       0.0     0.0      239.5       224.9        217.6           30528.7
  June  2  *  246.7         0.0         57.5       189.2       0.0     0.0      246.7       225.7        209.9           30054.5
  June  1  *  230.6         0.0         55.9       174.7       0.0     3.6      227.0       222.1        203.7           29566.0
  May  31  *  211.0         0.0         51.2       159.9       0.0     0.7      210.3       220.4        199.0           29116.5
  May  30  *  202.8         0.0         48.0       154.8       0.0     2.0      200.8       219.3        175.1           28700.2
  May  29  *  243.6         0.0         54.3       189.3       0.0     0.0      243.6       210.3        176.2           28302.6
  May  28  *  228.6         0.0         54.3       174.3       0.0     0.0      228.6       194.1        167.9           27820.2
  May  27  *  218.4         0.0         49.6       168.8       0.0     0.0      218.4       185.3        162.5           27367.5
  May  26  *  204.9         0.0         46.4       158.5       0.0     0.0      204.9       177.7        159.5           26935.0
  May  25  *  189.9         0.0         41.6       148.3       0.0    33.8      156.1       130.9        154.1           26529.3
  May  24  *  181.3         0.0         38.3       143.0       0.0    19.0      162.4       142.1        154.8           26220.2
  May  23  *  185.0         0.0         41.6       143.3       0.0     0.0      185.0       141.6        150.4           25898.7
  May  22  *  180.0         0.0         41.6       138.4       0.0     0.0      180.0       139.6        135.1           25532.5
  May  21  *  187.8         0.0         44.7       143.0       0.0   216.7      -29.0       141.3        115.0           25176.2
  May  20  *  212.1         0.0         49.7       162.4       0.0     0.0      212.1       177.4        137.2           25233.5
  May  19  *  184.1         0.0         46.4       137.8       0.0    24.2      160.0       167.5        132.5           24813.5
  May  18  *  205.0         0.0         48.1       156.9       0.0    30.2      174.8       159.2        132.7           24496.7
  May  17  *  188.4         0.0         41.7       146.7       0.0     0.0      188.4       130.7        133.1           24150.7
  May  16  *  152.4         0.0         35.1       117.2       0.0     0.8      151.5        88.8        132.3           23777.6
  May  15  *  165.5         0.0         38.4       127.0       0.0     2.6      162.9        97.1        137.1           23477.6
  May  14  *  184.2         0.0         46.5       137.7       0.0    65.7      118.4        97.5        137.2           23155.0
  May  13  *  166.5         0.0         38.4       128.1       0.0   134.3       32.2       106.2        126.8           22920.5
  May  12  *  163.9         0.0         40.1       123.7       0.0   185.2      -21.3       135.5        139.3           22856.7
  May  11  *  193.2         0.0         44.7       148.5       0.0     0.0      193.2       175.8        158.0           22898.9
  May  10  *  173.9         0.0         40.1       133.7       0.0     9.0      164.9       177.1        161.1           22516.5
  May   9  *  162.2         0.0         38.4       123.8       0.0     0.0      162.2       177.0        165.3           22189.9
  May   8  *  178.6         0.0         44.8       133.8       0.0     0.0      178.6       147.4        167.4           21868.8
  May   7  *  180.2         0.0         41.7       138.4       0.0     0.0      180.2       143.1        164.9           21515.1
  May   6  *  199.5         0.0         41.7       157.8       0.0     0.0      199.5       140.2        160.3           21158.4
  May   5  *  181.5         0.0         38.5       143.0       0.0    17.0      164.6       145.2        143.7           20763.3
  May   4  *  188.2         0.0         44.8       143.3       0.0   174.2       14.0       153.6        144.8           20437.5
  May   3  *  201.6         0.0         48.2       153.4       0.0    44.4      157.1       187.5        155.5           20409.9
