             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     9026.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  July 17  *  134.0         0.0         48.6        85.4       0.0     0.0      134.0        52.8         73.3           52371.5
  July 16  *  125.8         0.0         45.8        80.0       0.0    81.6       44.3        45.5         74.6           52106.2
  July 15  *  130.7         0.0         46.9        83.8       0.0   204.7      -74.1        53.3         84.9           52018.6
  July 14  *  127.3         0.0         45.8        81.5       0.0     0.1      127.2        93.3        105.2           52165.2
  July 13  *  129.0         0.0         46.8        82.2       0.0    96.2       32.7        92.7        107.6           51913.4
  July 12  *  133.4         0.0         47.3        86.1       0.0    36.1       97.3        93.7        121.3           51848.6
  July 11  *  132.8         0.0         46.0        86.8       0.0    49.8       83.1       103.8        129.6           51655.9
  July 10  *  135.1         0.0         47.1        88.1       0.0     9.1      126.0       116.6        140.0           51491.4
  July  9  *  135.4         0.0         46.1        89.3       0.0    11.2      124.1       117.2        134.1           51241.9
  July  8  *  136.5         0.0         46.0        90.5       0.0    98.5       38.0       122.6        135.6           50996.1
  July  7  *  147.9         0.0         49.3        98.7       0.0     0.2      147.8       148.9        151.3           50920.8
  July  6  *  149.2         0.0         49.2       100.0       0.0     2.1      147.1       155.4        153.3           50628.3
  July  5  *  155.3         0.0         50.5       104.8       0.0    26.3      129.1       163.3        159.2           50337.0
  July  4  *  174.3         0.0         57.5       116.8       0.0    23.0      151.3       151.1        165.1           50081.5
  July  3  *  169.7         0.0         55.3       114.4       0.0     0.3      169.4       148.6        169.5           49782.0
  July  2  *  180.0         0.0         57.1       122.9       0.0     0.0      180.0       153.6        173.6           49446.6
  July  1  *  187.0         0.0         59.2       127.8       0.0     0.0      187.0       151.2        177.7           49090.2
  June 30  *  175.4         0.0         57.2       118.1       0.0   107.7       67.7       155.0        179.9           48719.9
  June 29  *  174.8         0.0         55.7       119.2       0.0    36.1      138.7       179.2        193.6           48585.8
  June 28  *  196.2         0.0         61.0       135.2       0.0     1.7      194.5       190.5        199.6           48311.1
  June 27  *  212.7         0.0         64.9       147.7       0.0    44.7      168.0       193.7        199.1           47926.0
  June 26  *  206.2         0.0         61.2       145.1       0.0     0.0      206.2       204.2        199.1           47593.4
