             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    26795.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  July 22  *  345.5       246.9         69.6        29.0       0.0     0.0      345.5       331.5        277.5           63010.2
  July 21  *  330.8       235.8         67.1        27.9       0.0     0.5      330.3       321.8        264.2           62326.1
  July 20  *  334.9       238.9         67.8        28.2       0.0     6.7      328.2       275.2        260.7           61672.0
  July 19  *  342.9       245.2         68.9        28.8       0.0     7.3      335.6       247.3        258.9           61022.1
  July 18  *  317.7       228.1         63.3        26.3       0.0     0.0      317.7       233.9        253.3           60357.7
  July 17  *  297.2       214.2         58.5        24.5       0.0     0.0      297.2       223.5        244.6           59728.7
  July 16  *  268.0       192.7         53.2        22.1       0.0   170.7       97.3       206.7        245.3           59140.2
  July 15  *  302.7       217.4         60.0        25.3       0.0   113.9      188.8       246.1        266.2           58947.6
  July 14  *  275.5       198.2         54.7        22.6       0.0     7.1      268.3       270.5        234.5           58573.8
  July 13  *  272.3       196.0         54.0        22.3       0.0     6.4      265.9       272.7        242.1           58042.4
  July 12  *  269.5       194.6         52.3        22.6       0.0    56.6      212.9       265.6        249.3           57515.9
  July 11  *  296.2       213.7         57.8        24.7       0.0     1.7      294.6       284.0        262.2           57094.4
  July 10  *  312.9       226.0         61.1        25.8       0.0     2.0      310.9       286.2        267.1           56511.1
  July  9  *  296.7       214.1         57.8        24.8       0.0    17.3      279.4       198.5        268.1           55895.6
  July  8  *  300.7       216.0         59.6        25.1       0.0    70.2      230.5       211.5        272.8           55342.5
  July  7  *  305.1       219.9         60.0        25.3       0.0     0.2      304.9       233.0        286.1           54886.1
  July  6  *  309.2       223.9         59.7        25.5       0.0     3.7      305.5       240.5        270.7           54282.4
  July  5  *  314.6       227.6         61.1        25.8       0.0   442.5     -127.9       247.9        277.9           53677.6
  July  4  *  344.8       248.3         67.6        29.0       0.0     0.0      344.8       337.7        324.6           53930.9
  July  3  *  337.5       242.6         66.5        28.4       0.0     0.0      337.5       334.0        324.8           53248.1
  July  2  *  342.4       245.4         68.0        29.0       0.0     0.0      342.4       339.2        326.6           52579.9
  July  1  *  342.9       245.9         68.0        29.0       0.0     0.0      342.9       301.0        329.4           51901.8
  June 30  *  320.7       232.5         61.6        26.5       0.0     0.0      320.7       307.8        329.8           51223.0
  June 29  *  326.9       236.2         63.5        27.3       0.0     0.4      326.5       311.6        332.0           50588.0
  June 28  *  363.8       261.2         72.0        30.7       0.0     0.4      363.4       315.6        330.8           49941.4
  June 27  *  381.3       273.7         75.4        32.2       0.0   229.8      151.5       313.9        324.7           49221.8
  June 26  *  376.6       270.6         74.0        32.0       0.0     0.0      376.6       357.8        337.6           48921.9
  June 25  *  339.8       245.1         66.2        28.5       0.0     0.0      339.8       351.8        262.0           48176.2
